@onigirimgmg_fms	2017-05-22 19:14:37	#EP演習かなんちゃんかわいい
@ymhr_126	2017-05-22 19:14:39	発表する内容を最初に紹介しない人は、コードの最初を改行で画面の外に出しておくとネタバレ防止でいいですよ#EP演習
@hoihoi_wayway	2017-05-22 19:14:46	普通に楽しい！！！！#EP演習
@252_874	2017-05-22 19:14:47	みんな神かよ８８８８８８８８８８８８#EP演習
@fms_moyashi	2017-05-22 19:14:49	ボタンの凝り具合がすごい ＃EP演習
@fms_eraser	2017-05-22 19:14:57	被りはしょうがないよね #EP演習
@yard__garden	2017-05-22 19:15:00	#EP演習ハードルあげすぎー
@liz_ei	2017-05-22 19:15:02	かぶってないかぶってない #EP演習
@2n7_5	2017-05-22 19:15:02	タイピングゲー被りがち#EP演習
@FungiMetalSyoko	2017-05-22 19:15:05	美咲ゴシックという文字列が見えて胸熱 #EP演習
@Herzegovinas	2017-05-22 19:15:05	ハードル高い＃EP演習
@UNK61688740	2017-05-22 19:15:11	めっちゃいい#EP演習
@auk_key_ikon	2017-05-22 19:15:12	いらすとや#EP演習
@turtar_fms	2017-05-22 19:15:15	#EP演習 10fastfinger人気だなあ
@0334nicole	2017-05-22 19:15:16	いらすとや #EP演習
@fms_eraser	2017-05-22 19:15:16	イラスト屋だ笑 #EP演習
@mayumi_kt2	2017-05-22 19:15:18	かっこいい感じね#EP演習
@onigirimgmg_fms	2017-05-22 19:15:28	#EP演習デザインめっちゃすき
@chaki_cheer3	2017-05-22 19:15:28	ぱっくまん#EP演習
@2n7_5	2017-05-22 19:15:29	ファミコン感よい#EP演習
@glaceef_maru9	2017-05-22 19:15:30	ゲームと組み合わせたのか～#EP演習
@rider_maru	2017-05-22 19:15:42	パックマン#EP演習
@ohnomeijifms	2017-05-22 19:15:56	緊張で指震えるよなあ #EP演習
@natume_fms	2017-05-22 19:16:05	曲好き #EP演習
@mayumi_kt2	2017-05-22 19:16:10	このゲーム普通に楽しい#EP演習
@kbcha10	2017-05-22 19:16:10	タイピング×パックマン×いらすとや#EP演習
@sss_tomo0413	2017-05-22 19:16:11	３）タイピングゲーム、タイピングしてミサイルを打ち相手を倒すゲーム#EP演習
@ekusikaS_fms	2017-05-22 19:16:14	打ち終わるかギリギリなのが見てて楽しい#EP演習
@ymhr_126	2017-05-22 19:16:15	あとは、こういう実演系はデバッグモードと言うか、裏コマンドを用意しておくのも良いですよ#EP演習
@glaceef_maru9	2017-05-22 19:16:19	急に長くなるｗ#EP演習
@EPDaisuke	2017-05-22 19:16:20	#EP演習　3 タイピングゲームドット絵　いらすとやパックマン的な敵を倒すどんどん早くなって難易度が上がるスコアがちゃんと出る
@UNK61688740	2017-05-22 19:16:24	ドットおしゃれ#EP演習
@onakaSuitaaayoh	2017-05-22 19:16:26	あっ…ww#EP演習
@auk_key_ikon	2017-05-22 19:16:28	デモしながら発表は難しいよなぁ#EP演習
@fms_eraser	2017-05-22 19:16:31	ナイス演出だった #EP演習
@tkw_fms	2017-05-22 19:16:37	完成してて素晴らしい #EP演習
@chaki_cheer3	2017-05-22 19:16:39	本格的なタイピングう#EP演習
@0334nicole	2017-05-22 19:16:46	まだ歌わなそう #EP演習
@FungiMetalSyoko	2017-05-22 19:16:50	ちょっと姑息な手段かもだけど、PCの壁紙で出端から笑いを取るのも一つの手です #EP演習
@fms_moyashi	2017-05-22 19:16:54	音楽が楽しい ＃EP演習
@mayumi_kt2	2017-05-22 19:16:54	いけしゅう#EP演習
@kbcha10	2017-05-22 19:16:55	ちょっとレトロな感じが素敵#EP演習
@larcenciel37	2017-05-22 19:17:16	レトロゲーム感にいらすとやというコラボ良い笑#EP演習
@takaken_fms	2017-05-22 19:17:20	ずっと見る側にいたい＃EP演習
@T_daigaku	2017-05-22 19:17:22	イラストやw#EP演習
@kbcha10	2017-05-22 19:17:23	いけしゅう#EP演習
@ohnomeijifms	2017-05-22 19:17:31	ぜってえ緊張してねえぞｗｗｗ #EP演習
@mayumi_kt2	2017-05-22 19:17:38	緊張してないだろwwwwww#EP演習
@pvcresinfmsfms	2017-05-22 19:17:44	緊張してないｗｗｗ #EP演習
@onigirimgmg_fms	2017-05-22 19:17:45	#EP演習むりｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
@fms_eraser	2017-05-22 19:17:45	ちょっと声が小さいかなぁ #EP演習
@chaki_cheer3	2017-05-22 19:17:45	いけしゅうワールドｗｗｗ#EP演習
@UNK61688740	2017-05-22 19:17:47	すげえ発表上手#EP演習
@FungiMetalSyoko	2017-05-22 19:17:53	何の下りだよｗｗｗｗ #EP演習
@takuandake	2017-05-22 19:17:54	最高www #EP演習
@fms_eraser	2017-05-22 19:17:54	めっちゃいい声だ笑 #EP演習
@HomeiMiyashita	2017-05-22 19:17:58	お　ま　え　緊　張　し　て　な　い　だ　ろ　ｗ #EP演習
